Auction,From,State,Loc,,Country,To,Car,Motorcycle,Pickup,SUV,Travel trailer,
Adesa,Sioux Falls - SD - Adesa - South Dakota - Adesa,South Dakota,SD - Sioux Falls ,SD,USA,Chicago,650,550,,,,Sioux Falls 
Adesa,East Tennessee - Tennessee - Adesa,Tennessee,TN - East Tennessee ,TN,USA,Savannah,450,,,,,East Tennessee 
Adesa,Knoxville - Tennessee - Adesa,Tennessee,TN - Knoxville ,TN,USA,Savannah,400,,,,,Knoxville 
Adesa,Memphis - Tennessee - Adesa,Tennessee,TN - Memphis ,TN,USA,Savannah,500,425,,,,Memphis 
Adesa,Nashville - Tennessee - Adesa,Tennessee,TN - Nashville ,TN,USA,Savannah,400,350,,,,Nashville 
Adesa,Austin - Texas - Adesa,Texas,TX - Austin ,TX,USA,Houston,250,175,,,,Austin 
Adesa,Dallas - Texas - Adesa,Texas,TX - Dallas ,TX,USA,Houston,275,185,,,,Dallas 
Adesa,Houston - Texas - Adesa,Texas,TX - Houston ,TX,USA,Houston,180,100,,,,Houston 
Adesa,San Antonio - Texas - Adesa,Texas,TX - San Antonio ,TX,USA,Houston,300,200,,,,San Antonio 
Adesa,Salt Lake City - Utah - Adesa,Utah,UT - Salt Lake City ,UT,USA,Los Angeles,600,,,,,Salt Lake City 
Adesa,Washington DC - VA - Adesa - Virginia - Adesa,District of Columbia,DC - Washington Dc ,DC,USA,Norfolk,300,250,,,,Washington Dc 
Adesa,Seattle - WA - Adesa - Washington - Adesa,Washington,WA - Seattle ,WA,USA,Seattle,175,175,,,,Seattle 
Adesa,Wisconsin - WI - Adesa - Wisconsin - Adesa,Wisconsin,WI - Wisconsin ,WI,USA,Chicago,300,250,,,,Wisconsin 
AERO AUTO AUCTIONS,OTTAWA - Ontario - AERO AUTO AUCTIONS,Ontario,ON - Ottawa ,ON,Canada,Toronto,450,425,600,450,,Ottawa 
AERO AUTO AUCTIONS,MOTREAL - Quebec - AERO AUTO AUCTIONS,Quebec,QC - Motreal ,QC,Canada,Toronto,475,400,575,,,Motreal 
BELAIR AUTO AUCTION,BEL AIR - BELCAMP - Maryland - BELAIR AUTO AUCTION,Maryland,MD - Bel Air ,MD,USA,Norfolk,300,,,,,Bel Air 
BELAIR AUTO AUCTION,EDGEWOOD - Maryland - BELAIR AUTO AUCTION,Maryland,MD - Edgewood ,MD,USA,Norfolk,300,,,,,Edgewood 
Copart,BIRMINGHAM - Alabama - Copart,Alabama,AL - Birmingham ,AL,USA,Savannah,375,325,,,,Birmingham 
Copart,DOTHAN - Alabama - Copart,Alabama,AL - Dothan ,AL,USA,Savannah,375,325,,,,Dothan 
Copart,MOBILE - Alabama - Copart,Alabama,AL - Mobile ,AL,USA,Savannah,400,350,,,,Mobile 
Copart,MOBILE SOUTH - Alabama - Copart,Alabama,AL - Mobile South ,AL,USA,Savannah,400,350,,,,Mobile South 
Copart,MONTGOMERY - Alabama - Copart,Alabama,AL - Montgomery ,AL,USA,Savannah,400,350,,,,Montgomery 
Copart,TANNER - Alabama - Copart,Alabama,AL - Tanner ,AL,USA,Savannah,425,350,,,,Tanner 
Copart,ANCHORAGE - Alaska - Copart,Alaska,AK - Anchorage ,AK,USA,Anchorage,Call for price,,,,,Anchorage 
Copart,CALGARY - Alberta - Copart,Alberta,AB - Calgary ,AB,Canada,Toronto,1450,1300,1650,1450,,Calgary 
Copart,EDMONTON - Alberta - Copart,Alberta,AB - Edmonton ,AB,Canada,Toronto,1450,1300,1650,1450,,Edmonton 
Copart,PHOENIX - Arizona - Copart,Arizona,AZ - Phoenix ,AZ,USA,Los Angeles,350,300,,,,Phoenix 
Copart,TUCSON - Arizona - Copart,Arizona,AZ - Tucson ,AZ,USA,Los Angeles,400,350,,,,Tucson 
Copart,FAYETTEVILLE - Arkansas - Copart,Arkansas,AR - Fayetteville ,AR,USA,Houston,475,375,,,,Fayetteville 
Copart,LITTLE ROCK - Arkansas - Copart,Arkansas,AR - Little Rock ,AR,USA,Houston,450,350,,,,Little Rock 
Copart,ADELANTO - California - Copart,California,CA - Adelanto ,CA,USA,Los Angeles,300,250,,,,Adelanto 
Copart,ANTELOPE - California - Copart,California,CA - Antelope ,CA,USA,Los Angeles,400,300,,,,Antelope 
Copart,BAKERSFIELD - California - Copart,California,CA - Bakersfield ,CA,USA,Los Angeles,350,250,,,,Bakersfield 
Copart,CRASHEDTOYS SACRAMENTO - California - Copart,California,CA - Crashedtoys Sacramento ,CA,USA,Los Angeles,,300,,,,Crashedtoys Sacramento 
Copart,FRESNO - California - Copart,California,CA - Fresno ,CA,USA,Los Angeles,375,300,,,,Fresno 
Copart,HAYWARD - California - Copart,California,CA - Hayward ,CA,USA,Los Angeles,400,300,,,,Hayward 
Copart,LONG BEACH - California - Copart,California,CA - Long Beach ,CA,USA,Los Angeles,150,150,,,,Long Beach 
Copart,LOS ANGELES - California - Copart,California,CA - Los Angeles ,CA,USA,Los Angeles,160,160,,,,Los Angeles 
Copart,MARTINEZ - California - Copart,California,CA - Martinez ,CA,USA,Los Angeles,400,300,,,,Martinez 
